unit,isco08,indic_ed,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 
NR,OC221,TNGO_IF,AT	207.00 	224.00 	257.00 	209.00 	238.00 	225.00 	242.00 	263.00 	224.00 	196.00 	179.00 	191.00 	170.00 	177.00 	228.00 	210.00 	: 	: 	: 	: 	: 	: 
NR,OC221,TNGO_IF,BE	610.00 	483.00 	553.00 	461.00 	598.00 	500.00 	566.00 	558.00 	481.00 	684.00 	665.00 	504.00 	400.00 	459.00 	418.00 	204.00 	157.00 	95.00 	83.00 	83.00 	120.00 	107.00 
NR,OC221,TNGO_IF,BG	26.00 	28.00 	24.00 	12.00 	30.00 	18.00 	14.00 	21.00 	12.00 	21.00 	21.00 	26.00 	31.00 	19.00 	7.00 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,TNGO_IF,CH	: 	1910.00 	1875.00 	2003.00 	2268.00 	2355.00 	2183.00 	2123.00 	2519.00 	2179.00 	2015.00 	1892.00 	1924.00 	1984.00 	1798.00 	1798.00 	1632.00 	1676.00 	1831.00 	: 	: 	: 
NR,OC221,TNGO_IF,CY	: 	: 	309.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,TNGO_IF,CZ	153.00 	148.00 	105.00 	250.00 	311.00 	258.00 	241.00 	221.00 	210.00 	195.00 	158.00 	103.00 	95.00 	79.00 	133.00 	152.00 	237.00 	259.00 	347.00 	225.00 	77.00 	18.00 
NR,OC221,TNGO_IF,DE	: 	1333.00 	1349.00 	1296.00 	1287.00 	1430.00 	1530.00 	1730.00 	1964.00 	2225.00 	1900.00 	1426.00 	1071.00 	934.00 	883.00 	607.00 	580.00 	796.00 	371.00 	259.00 	223.00 	226.00 
NR,OC221,TNGO_IF,DK	279.00 	250.00 	272.00 	246.00 	275.00 	267.00 	282.00 	283.00 	198.00 	184.00 	238.00 	296.00 	359.00 	314.00 	320.00 	264.00 	334.00 	307.00 	216.00 	209.00 	113.00 	124.00 
NR,OC221,TNGO_IF,EE	11.00 	12.00 	9.00 	24.00 	22.00 	21.00 	29.00 	21.00 	24.00 	19.00 	20.00 	11.00 	16.00 	15.00 	10.00 	11.00 	12.00 	6.00 	1.00 	: 	: 	: 
NR,OC221,TNGO_IF,EL	: 	691.00 	313.00 	208.00 	161.00 	98.00 	79.00 	78.00 	83.00 	77.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,TNGO_IF,ES	4293.00 	4036.00 	6354.00 	4008.00 	3146.00 	2876.00 	1383.00 	2439.00 	2432.00 	3491.00 	5525.00 	6800.00 	6968.00 	7709.00 	4820.00 	3391.00 	2624.00 	2634.00 	3360.00 	831.00 	1342.00 	763.00 
NR,OC221,TNGO_IF,FI	: 	328.00 	320.00 	287.00 	291.00 	275.00 	300.00 	315.00 	357.00 	304.00 	354.00 	381.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,TNGO_IF,FR	: 	1073.00 	950.00 	1149.00 	1315.00 	1457.00 	1647.00 	1683.00 	1489.00 	1410.00 	1547.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,TNGO_IF,HU	: 	92.00 	123.00 	137.00 	111.00 	109.00 	133.00 	82.00 	54.00 	78.00 	51.00 	35.00 	43.00 	55.00 	110.00 	168.00 	190.00 	170.00 	116.00 	109.00 	64.00 	95.00 
NR,OC221,TNGO_IF,IE	1707.00 	1017.00 	1422.00 	1395.00 	1685.00 	1819.00 	1777.00 	871.00 	832.00 	783.00 	855.00 	683.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,TNGO_IF,IS	: 	67.00 	61.00 	43.00 	33.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,TNGO_IF,IT	299.00 	293.00 	260.00 	204.00 	150.00 	100.00 	89.00 	60.00 	98.00 	134.00 	129.00 	149.00 	143.00 	126.00 	116.00 	148.00 	168.00 	168.00 	125.00 	98.00 	92.00 	74.00 
NR,OC221,TNGO_IF,LI	10.00 	19.00 	25.00 	13.00 	18.00 	11.00 	12.00 	8.00 	14.00 	10.00 	13.00 	18.00 	6.00 	7.00 	2.00 	4.00 	: 	: 	: 	: 	: 	: 
NR,OC221,TNGO_IF,LT	5.00 	10.00 	6.00 	9.00 	15.00 	8.00 	5.00 	6.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,TNGO_IF,LV	: 	5.00 	2.00 	5.00 	8.00 	3.00 	3.00 	6.00 	25.00 	25.00 	16.00 	39.00 	33.00 	35.00 	60.00 	34.00 	25.00 	40.00 	: 	: 	: 	: 
NR,OC221,TNGO_IF,MT	: 	48.00 	24.00 	13.00 	27.00 	36.00 	46.00 	20.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,TNGO_IF,NL	: 	225.00 	420.00 	145.00 	196.00 	123.00 	161.00 	137.00 	93.00 	177.00 	158.00 	226.00 	205.00 	166.00 	151.00 	140.00 	162.00 	78.00 	113.00 	127.00 	: 	: 
NR,OC221,TNGO_IF,NO	1083.00 	1114.00 	1068.00 	1116.00 	1505.00 	1325.00 	1281.00 	1304.00 	2310.00 	1603.00 	1300.00 	1309.00 	1287.00 	1179.00 	1215.00 	1208.00 	1309.00 	1272.00 	1080.00 	1053.00 	1104.00 	1348.00 
NR,OC221,TNGO_IF,PL	887.00 	390.00 	365.00 	240.00 	172.00 	174.00 	104.00 	157.00 	137.00 	79.00 	70.00 	60.00 	61.00 	65.00 	66.00 	70.00 	: 	: 	: 	: 	: 	: 
NR,OC221,TNGO_IF,PT	: 	: 	: 	357.00 	328.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,TNGO_IF,RO	: 	83.00 	224.00 	78.00 	76.00 	31.00 	24.00 	25.00 	19.00 	27.00 	24.00 	47.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,TNGO_IF,RS	102.00 	130.00 	147.00 	89.00 	55.00 	47.00 	60.00 	38.00 	32.00 	27.00 	14.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,TNGO_IF,SE	: 	: 	750.00 	737.00 	645.00 	776.00 	717.00 	940.00 	864.00 	754.00 	739.00 	810.00 	770.00 	821.00 	764.00 	661.00 	562.00 	575.00 	483.00 	515.00 	470.00 	306.00 
NR,OC221,TNGO_IF,SI	68.00 	69.00 	82.00 	43.00 	33.00 	93.00 	37.00 	29.00 	36.00 	68.00 	129.00 	76.00 	52.00 	30.00 	20.00 	53.00 	27.00 	36.00 	50.00 	40.00 	40.00 	28.00 
NR,OC221,TNGO_IF,TR	: 	: 	: 	: 	: 	: 	0.00 	0.00 	0.00 	1.00 	3.00 	4.00 	4.00 	5.00 	5.00 	22.00 	10.00 	26.00 	26.00 	41.00 	60.00 	55.00 
NR,OC221,TNGO_IF,UK	: 	: 	11020.00 	8170.00 	6331.00 	5649.00 	4980.00 	5939.00 	5459.00 	5951.00 	5189.00 	5945.00 	4960.00 	5022.00 	5056.00 	6156.00 	9928.00 	10004.00 	13952.00 	6829.00 	5738.00 	6247.00 
NR,OC221,TNGO_NAT,AT	503.00 	452.00 	434.00 	399.00 	381.00 	360.00 	215.00 	230.00 	186.00 	173.00 	151.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,TNGO_NAT,EL	: 	8424.00 	7715.00 	7673.00 	7832.00 	7402.00 	7423.00 	7577.00 	7682.00 	7716.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,TNGO_NAT,FI	: 	1713.00 	1626.00 	1557.00 	1517.00 	1455.00 	1417.00 	1363.00 	1332.00 	1302.00 	1264.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	559.00 
NR,OC221,TNGO_NAT,FR	: 	796.00 	739.00 	698.00 	686.00 	648.00 	624.00 	609.00 	584.00 	553.00 	535.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,TNGO_NAT,HR	: 	: 	56.00 	31.00 	24.00 	56.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,TNGO_NAT,HU	: 	305.00 	411.00 	400.00 	400.00 	397.00 	391.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,TNGO_NAT,IT	1875.00 	1734.00 	1562.00 	1443.00 	1387.00 	1369.00 	1354.00 	1360.00 	1353.00 	1357.00 	1339.00 	1321.00 	1282.00 	1236.00 	1218.00 	1193.00 	1157.00 	1103.00 	1068.00 	1027.00 	994.00 	945.00 
NR,OC221,TNGO_NAT,LI	48.00 	48.00 	48.00 	50.00 	50.00 	51.00 	50.00 	50.00 	51.00 	50.00 	48.00 	49.00 	47.00 	47.00 	45.00 	46.00 	45.00 	: 	: 	: 	: 	: 
NR,OC221,TNGO_NAT,NL	: 	1021.00 	974.00 	686.00 	585.00 	483.00 	522.00 	443.00 	409.00 	408.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,TNGO_NAT,NO	6480.00 	6192.00 	5836.00 	5529.00 	5163.00 	4829.00 	4467.00 	4512.00 	3989.00 	3776.00 	3539.00 	3319.00 	3146.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,TNGO_NAT,PT	: 	: 	: 	: 	2865.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,TNGO_NAT,RO	: 	: 	: 	: 	620.00 	467.00 	259.00 	126.00 	123.00 	117.00 	112.00 	105.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,TNGO_NAT,RS	406.00 	321.00 	172.00 	167.00 	289.00 	281.00 	263.00 	260.00 	258.00 	247.00 	242.00 	239.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,TNGO_NAT,SE	: 	: 	2483.00 	2204.00 	1884.00 	1565.00 	1288.00 	1730.00 	1418.00 	1172.00 	1011.00 	891.00 	773.00 	677.00 	589.00 	542.00 	511.00 	470.00 	448.00 	434.00 	408.00 	378.00 
NR,OC221,TNGO_NAT,SI	157.00 	157.00 	152.00 	147.00 	142.00 	42.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,TNGO_NAT,TR	: 	: 	: 	: 	: 	: 	223.00 	223.00 	223.00 	223.00 	222.00 	219.00 	219.00 	218.00 	214.00 	210.00 	195.00 	187.00 	165.00 	142.00 	107.00 	52.00 
NR,OC221,TNGO_NAT,UK	: 	: 	789.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,TNG_IN,AT	37709.00 	37099.00 	36710.00 	35970.00 	35774.00 	35593.00 	35747.00 	34910.00 	34204.00 	32990.00 	32284.00 	31753.00 	31091.00 	30478.00 	30178.00 	29500.00 	29348.00 	: 	: 	: 	: 	: 
NR,OC221,TNG_IN,BE	63049.00 	61506.00 	60191.00 	58499.00 	55814.00 	54529.00 	53249.00 	52338.00 	51439.00 	50655.00 	49818.00 	49038.00 	48418.00 	47899.00 	47460.00 	47059.00 	46607.00 	46014.00 	45121.00 	44537.00 	43584.00 	42446.00 
NR,OC221,TNG_IN,CH	: 	24116.00 	24127.00 	24259.00 	24330.00 	24275.00 	24187.00 	23870.00 	23486.00 	23249.00 	23041.00 	22969.00 	23214.00 	23176.00 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,TNG_IN,CY	: 	: 	29.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,TNG_IN,CZ	41523.00 	41067.00 	40749.00 	40719.00 	40225.00 	39883.00 	39337.00 	39635.00 	40207.00 	39466.00 	40182.00 	40740.00 	41042.00 	41464.00 	41865.00 	42320.00 	42166.00 	42353.00 	42557.00 	42902.00 	43119.00 	43186.00 
NR,OC221,TNG_IN,DK	: 	: 	22356.00 	22005.00 	21481.00 	20760.00 	20263.00 	19894.00 	19694.00 	19555.00 	19220.00 	18821.00 	18432.00 	18066.00 	17432.00 	17262.00 	16844.00 	16382.00 	15711.00 	15514.00 	15024.00 	14873.00 
NR,OC221,TNG_IN,EE	6767.00 	6689.00 	6611.00 	6524.00 	6426.00 	6319.00 	6225.00 	6127.00 	6014.00 	5897.00 	5782.00 	5682.00 	5563.00 	5470.00 	5379.00 	5306.00 	5180.00 	4810.00 	3986.00 	2259.00 	: 	: 
NR,OC221,TNG_IN,EL	: 	31938.00 	31466.00 	32470.00 	33626.00 	30668.00 	28685.00 	29032.00 	28916.00 	29077.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,TNG_IN,FI	: 	19310.00 	19244.00 	19126.00 	19064.00 	18962.00 	18741.00 	18542.00 	18304.00 	18057.00 	17781.00 	13345.00 	13436.00 	: 	: 	: 	: 	: 	: 	: 	: 	12354.00 
NR,OC221,TNG_IN,FR	: 	200950.00 	200936.00 	199382.00 	200002.00 	199638.00 	199528.00 	199426.00 	199480.00 	198753.00 	198300.00 	197234.00 	196934.00 	199124.00 	199100.00 	200125.00 	199549.00 	198336.00 	196641.00 	195224.00 	193507.00 	191306.00 
NR,OC221,TNG_IN,HR	: 	13504.00 	13588.00 	13332.00 	13163.00 	13295.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,TNG_IN,HU	: 	28106.00 	31336.00 	30404.00 	29929.00 	29056.00 	28112.00 	30309.00 	30198.00 	30970.00 	30441.00 	31161.00 	34251.00 	34525.00 	34743.00 	34991.00 	35083.00 	35295.00 	: 	: 	: 	: 
NR,OC221,TNG_IN,IE	15459.00 	14955.00 	13824.00 	13429.00 	13087.00 	12797.00 	12467.00 	12182.00 	11909.00 	11859.00 	12088.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,TNG_IN,IT	422998.00 	417639.00 	403925.00 	398574.00 	392753.00 	389942.00 	385780.00 	382455.00 	378964.00 	375940.00 	372646.00 	369024.00 	365245.00 	361340.00 	357517.00 	353572.00 	349672.00 	345849.00 	337731.00 	330247.00 	324254.00 	318178.00 
NR,OC221,TNG_IN,LI	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
NR,OC221,TNG_IN,LT	13652.00 	13697.00 	13823.00 	14760.00 	14511.00 	14268.00 	14226.00 	14240.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,TNG_IN,LV	: 	6040.00 	7281.00 	7414.00 	7545.00 	7571.00 	7747.00 	7717.00 	7738.00 	7504.00 	7363.00 	7765.00 	7107.00 	7227.00 	7060.00 	6905.00 	6779.00 	6704.00 	: 	: 	: 	: 
NR,OC221,TNG_IN,MT	: 	1856.00 	1762.00 	1709.00 	1559.00 	1471.00 	1397.00 	1338.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,TNG_IN,NL	: 	64490.00 	62788.00 	61247.00 	60036.00 	58897.00 	57856.00 	56533.00 	54539.00 	53377.00 	46961.00 	43839.00 	41014.00 	38618.00 	36405.00 	35087.00 	33156.00 	31075.00 	30816.00 	30266.00 	29520.00 	: 
NR,OC221,TNG_IN,NO	15732.00 	15579.00 	15283.00 	15030.00 	14752.00 	14347.00 	13986.00 	13921.00 	13580.00 	13252.00 	13092.00 	12811.00 	12531.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,TNG_IN,PL	142170.00 	139530.00 	137655.00 	135358.00 	132919.00 	130832.00 	128701.00 	126729.00 	124918.00 	122870.00 	121109.00 	119110.00 	117745.00 	117075.00 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,TNG_IN,PT	: 	: 	: 	: 	45708.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,TNG_IN,RO	: 	56798.00 	55387.00 	54817.00 	54757.00 	50136.00 	48056.00 	39559.00 	41877.00 	42516.00 	44547.00 	44817.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,TNG_IN,RS	32530.00 	31068.00 	29995.00 	25860.00 	20994.00 	20259.00 	13543.00 	13693.00 	13689.00 	13573.00 	13383.00 	12653.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,TNG_IN,SE	: 	: 	29437.00 	29238.00 	28452.00 	27788.00 	27011.00 	29608.00 	29304.00 	28867.00 	28393.00 	27926.00 	27536.00 	27116.00 	26907.00 	26482.00 	25949.00 	25574.00 	25253.00 	24779.00 	24229.00 	23662.00 
NR,OC221,TNG_IN,SI	5757.00 	5578.00 	5442.00 	5324.00 	5219.00 	4898.00 	5008.00 	4902.00 	4635.00 	4496.00 	4517.00 	4448.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,TNG_IN,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	12125.00 	11789.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,TNG_IN,TR	: 	: 	: 	: 	: 	: 	140997.00 	135354.00 	133513.00 	129510.00 	125768.00 	123189.00 	118387.00 	112901.00 	108157.00 	104235.00 	100635.00 	96902.00 	94284.00 	91793.00 	89689.00 	85187.00 
NR,OC221,TNG_IN,UK	: 	: 	123337.00 	115508.00 	115005.00 	113530.00 	110383.00 	117968.00 	115036.00 	109421.00 	107353.00 	104060.00 	103771.00 	100235.00 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,TNG_OUT,AT	2762.00 	2595.00 	2497.00 	2282.00 	2189.00 	2058.00 	1938.00 	1862.00 	1638.00 	1501.00 	1372.00 	1289.00 	1175.00 	1107.00 	1089.00 	926.00 	888.00 	: 	: 	: 	: 	: 
NR,OC221,TNG_OUT,BE	9608.00 	8946.00 	8533.00 	8062.00 	7801.00 	7370.00 	6889.00 	6732.00 	6184.00 	5708.00 	5033.00 	4380.00 	3885.00 	3490.00 	3042.00 	2636.00 	2441.00 	2290.00 	2200.00 	2126.00 	2048.00 	1934.00 
NR,OC221,TNG_OUT,CH	: 	14386.00 	13755.00 	13266.00 	12570.00 	11900.00 	11138.00 	10478.00 	9756.00 	8609.00 	7808.00 	7304.00 	6952.00 	6477.00 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,TNG_OUT,CY	: 	: 	3739.00 	3668.00 	3449.00 	3325.00 	3152.00 	2988.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,TNG_OUT,CZ	3409.00 	3321.00 	3245.00 	3232.00 	3058.00 	2799.00 	2556.00 	2036.00 	1967.00 	2116.00 	1984.00 	1874.00 	1841.00 	1816.00 	1805.00 	1744.00 	1642.00 	1455.00 	1221.00 	870.00 	651.00 	579.00 
NR,OC221,TNG_OUT,DE	: 	51395.00 	48125.00 	44931.00 	41934.00 	38247.00 	34850.00 	31857.00 	28901.00 	26034.00 	22829.00 	20029.00 	18339.00 	16741.00 	15456.00 	14703.00 	13746.00 	13430.00 	12804.00 	11848.00 	10806.00 	9971.00 
NR,OC221,TNG_OUT,DK	: 	: 	2339.00 	2278.00 	2185.00 	2117.00 	2044.00 	1956.00 	1887.00 	1872.00 	1857.00 	1809.00 	1685.00 	1545.00 	1398.00 	1293.00 	1169.00 	994.00 	828.00 	737.00 	612.00 	595.00 
NR,OC221,TNG_OUT,EE	294.00 	283.00 	271.00 	262.00 	238.00 	216.00 	195.00 	166.00 	145.00 	121.00 	102.00 	82.00 	71.00 	55.00 	40.00 	30.00 	19.00 	7.00 	1.00 	0.00 	: 	: 
NR,OC221,TNG_OUT,EL	: 	11349.00 	11332.00 	9969.00 	8367.00 	7728.00 	7754.00 	7889.00 	7997.00 	8005.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,TNG_OUT,FI	: 	4576.00 	4437.00 	4291.00 	4192.00 	4054.00 	3937.00 	3791.00 	3634.00 	3436.00 	3265.00 	3528.00 	3147.00 	: 	: 	: 	: 	: 	: 	: 	: 	919.00 
NR,OC221,TNG_OUT,FR	: 	26989.00 	26355.00 	25675.00 	25039.00 	24096.00 	22920.00 	21569.00 	20082.00 	18842.00 	17625.00 	15903.00 	14781.00 	14364.00 	13450.00 	12261.00 	11824.00 	11520.00 	10739.00 	9849.00 	8767.00 	7795.00 
NR,OC221,TNG_OUT,HR	: 	752.00 	724.00 	743.00 	722.00 	134.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,TNG_OUT,HU	: 	2504.00 	2801.00 	2674.00 	2614.00 	2459.00 	2374.00 	2482.00 	2470.00 	2484.00 	2525.00 	2609.00 	2851.00 	2884.00 	2897.00 	2917.00 	2926.00 	2939.00 	: 	: 	: 	: 
NR,OC221,TNG_OUT,IE	10500.00 	10050.00 	9750.00 	9583.00 	9606.00 	9123.00 	7983.00 	6877.00 	6214.00 	5935.00 	6708.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,TNG_OUT,IT	4039.00 	3810.00 	3594.00 	3378.00 	3250.00 	3262.00 	3250.00 	3227.00 	3226.00 	3175.00 	3088.00 	2985.00 	2848.00 	2692.00 	2587.00 	2488.00 	2357.00 	2148.00 	1665.00 	1540.00 	1442.00 	1350.00 
NR,OC221,TNG_OUT,LI	134.00 	141.00 	144.00 	135.00 	138.00 	124.00 	120.00 	119.00 	120.00 	116.00 	111.00 	104.00 	89.00 	85.00 	80.00 	80.00 	78.00 	68.00 	64.00 	64.00 	57.00 	49.00 
NR,OC221,TNG_OUT,LT	79.00 	89.00 	81.00 	72.00 	63.00 	48.00 	41.00 	37.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,TNG_OUT,LV	: 	382.00 	405.00 	434.00 	477.00 	505.00 	540.00 	558.00 	579.00 	573.00 	567.00 	585.00 	569.00 	621.00 	619.00 	605.00 	596.00 	594.00 	: 	: 	: 	: 
NR,OC221,TNG_OUT,MT	: 	302.00 	267.00 	260.00 	296.00 	272.00 	235.00 	227.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,TNG_OUT,NL	: 	2380.00 	2333.00 	2031.00 	1694.00 	1336.00 	1288.00 	1229.00 	1142.00 	1134.00 	1352.00 	1287.00 	1186.00 	1077.00 	993.00 	941.00 	908.00 	828.00 	832.00 	773.00 	706.00 	: 
NR,OC221,TNG_OUT,NO	11697.00 	11239.00 	10794.00 	10302.00 	9818.00 	9263.00 	8733.00 	8462.00 	7951.00 	7639.00 	7283.00 	6902.00 	6646.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,TNG_OUT,PL	3937.00 	3188.00 	2934.00 	2678.00 	2549.00 	2451.00 	2358.00 	2302.00 	2265.00 	2203.00 	2172.00 	2487.00 	2543.00 	2529.00 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,TNG_OUT,PT	: 	: 	: 	: 	6229.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,TNG_OUT,RO	: 	1047.00 	1078.00 	899.00 	846.00 	561.00 	356.00 	299.00 	302.00 	259.00 	233.00 	238.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,TNG_OUT,RS	826.00 	609.00 	481.00 	410.00 	933.00 	898.00 	788.00 	751.00 	714.00 	695.00 	670.00 	658.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,TNG_OUT,SE	: 	: 	12934.00 	12639.00 	12023.00 	11477.00 	10756.00 	11029.00 	10334.00 	9674.00 	9106.00 	8598.00 	8014.00 	7488.00 	6894.00 	6351.00 	5892.00 	5448.00 	5063.00 	4690.00 	4252.00 	3839.00 
NR,OC221,TNG_OUT,SI	1081.00 	1067.00 	1072.00 	1085.00 	1092.00 	1114.00 	822.00 	810.00 	781.00 	732.00 	604.00 	531.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,TNG_OUT,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	506.00 	436.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,TNG_OUT,TR	: 	: 	: 	: 	: 	: 	262.00 	262.00 	262.00 	262.00 	261.00 	258.00 	254.00 	250.00 	245.00 	240.00 	218.00 	208.00 	182.00 	156.00 	115.00 	55.00 
NR,OC221,TNG_OUT,UK	: 	: 	58053.00 	51115.00 	49164.00 	47905.00 	45732.00 	49160.00 	48980.00 	46518.00 	46399.00 	46276.00 	46343.00 	44050.00 	: 	: 	: 	: 	: 	: 	: 	: 
NR,OC221,TOT_TNG,AT	40471.00 	39694.00 	39207.00 	38252.00 	37963.00 	37651.00 	37685.00 	36772.00 	35842.00 	34491.00 	33656.00 	33042.00 	32266.00 	31585.00 	31267.00 	30426.00 	30236.00 	: 	: 	: 	: 	: 
