owner,unit,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 	1979 	1978 	1977 	1976 	1975 	1974 	1973 	1972 	1971 	1970 	1969 	1968 	1967 	1966 	1965 	1964 	1963 	1962 	1961 	1960 
PRV_NP,P_HTHAB,BG	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_NP,P_HTHAB,CY	: 	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_NP,P_HTHAB,CZ	: 	2.24 	2.25 	2.38 	2.39 	2.39 	2.40 	2.40 	2.41 	2.54 	2.42 	2.97 b	4.45 	4.48 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_NP,P_HTHAB,DE	: 	221.47 	228.15 	229.73 	231.21 	234.80 	236.62 	240.86 	244.61 	246.70 	247.79 	247.71 	246.78 	249.38 	249.08 	252.28 	257.26 	263.81 	274.20 	280.15 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_NP,P_HTHAB,DK	10.84 	10.84 	10.80 	10.56 	11.15 	11.03 	11.52 	10.84 	10.15 	10.10 	10.02 	8.44 	8.33 	8.12 	11.06 	11.53 	10.37 	8.79 	8.27 	8.48 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_NP,P_HTHAB,EE	: 	11.43 	11.30 	11.19 	11.53 	11.15 	11.68 	11.99 	11.58 b	38.41 	30.59 	28.24 	27.80 	27.97 	24.91 	22.20 	22.07 	15.05 	10.87 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_NP,P_HTHAB,EL	: 	: 	7.68 	7.71 	8.31 	8.34 	8.14 	8.12 	8.43 	11.86 	11.83 	12.30 b	13.19 	14.42 	14.54 	14.21 	14.27 	14.13 	12.99 	10.81 	9.69 	5.82 	2.72 	2.73 	2.75 	2.68 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_NP,P_HTHAB,ES	: 	36.49 p	37.18 	37.18 	36.28 	36.35 	36.07 	37.04 	36.99 	36.93 	39.44 	40.89 b	42.61 	43.05 	43.63 	47.92 	48.87 	48.79 	51.70 	53.82 	54.81 	56.09 	56.62 	56.11 	57.27 	57.35 	50.63 	57.21 	59.77 	61.27 	65.52 	63.28 	66.21 	66.80 	67.14 	67.78 	68.32 	: 	: 	: 	: 	70.67 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_NP,P_HTHAB,FR	: 	82.55 	83.85 	83.86 	84.40 	85.42 	86.23 	86.22 	88.40 	88.84 	89.05 	90.74 	92.88 	95.72 	97.54 	99.19 	101.66 	103.76 	107.37 	109.32 	111.93 	115.99 	121.86 	125.36 	129.15 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_NP,P_HTHAB,HR	: 	3.46 	3.44 	3.42 	3.39 	3.36 	3.33 	3.30 	3.29 	3.35 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_NP,P_HTHAB,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	20.63 	20.85 	20.42 	19.83 	19.62 b	21.89 	21.86 	21.34 	20.88 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_NP,P_HTHAB,IE	: 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_NP,P_HTHAB,IS	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_NP,P_HTHAB,IT	: 	0.00 b	12.20 	12.38 	12.62 	12.22 	12.39 	12.26 	12.61 	13.38 	12.77 	13.18 	13.30 	13.10 	13.37 	12.09 	11.65 	11.64 	12.41 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_NP,P_HTHAB,LI	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_NP,P_HTHAB,LT	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_NP,P_HTHAB,LV	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_NP,P_HTHAB,ME	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_NP,P_HTHAB,MK	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_NP,P_HTHAB,MT	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_NP,P_HTHAB,NL	: 	291.13 p	302.10 	318.43 	327.68 	341.10 	348.98 b	354.55 	369.25 	377.86 	397.46 	411.97 	421.11 	424.96 	429.16 	439.62 b	443.88 	449.55 	449.28 b	468.77 	474.80 b	492.12 	514.34 	521.28 	529.78 	532.52 	538.50 	549.36 	569.15 	578.64 	585.15 	594.81 b	606.45 	619.42 	627.87 	633.95 	639.78 	646.67 	656.80 	662.03 b	685.64 	691.42 	701.30 	710.24 	718.76 	725.34 	738.41 	751.88 	765.74 	774.85 	767.51 	760.37 	765.65 	758.07 	764.39 	762.67 	749.91 	: 	: 	: 	: 	: 
PRV_NP,P_HTHAB,PL	: 	8.24 	9.70 	9.93 	10.43 b	: 	: 	: 	: 	: 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_NP,P_HTHAB,PT	: 	69.68 	69.71 	71.22 	70.10 	69.94 	67.39 	65.45 	67.38 	66.71 	67.00 	61.79 	62.47 	62.42 	63.63 	63.31 	66.36 	65.67 	64.01 	60.61 	61.77 	63.30 	63.78 b	67.60 	68.35 	68.53 	67.79 	69.01 	68.54 	71.55 	70.36 	70.59 	59.77 	68.68 	59.34 	63.91 	63.55 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_NP,P_HTHAB,RO	: 	3.04 	3.03 	3.00 	2.66 	2.69 	2.39 	2.03 	1.73 	1.30 	1.16 	1.04 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_NP,P_HTHAB,RS	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_NP,P_HTHAB,SI	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_NP,P_HTHAB,TR	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_P,HAB_P,AT	: 	937.83 	983.49 	986.67 	991.50 	999.28 	980.12 	979.08 	1000.22 	1032.20 	1106.20 	1174.31 	1227.32 	1243.68 	1287.32 	1334.73 	1439.44 	1499.99 	1624.28 	1735.44 	1775.34 	1756.92 	1662.64 	1727.33 	1695.69 	1649.20 	1680.75 	1770.66 	1708.96 	1752.11 	1758.08 	1762.59 	1824.61 	1953.47 	1907.48 	1931.56 	2076.58 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_P,HAB_P,BG	: 	502.50 	536.51 	557.14 	576.08 	619.00 	659.14 	703.20 	856.23 	989.96 	1173.29 	1270.28 	1309.26 	1652.16 	2152.74 	2896.73 	4351.69 	6105.11 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_P,HAB_P,CY	: 	: 	734.96 	722.05 	705.68 b	627.99 	622.82 	615.53 	610.01 	597.06 	578.44 	574.41 	530.21 	525.12 	522.56 	523.69 	526.78 	: 	: 	: 	: 	423.96 	: 	: 	: 	: 	421.27 	: 	407.08 	401.54 	387.94 	395.83 	389.35 	385.43 	381.36 	361.07 	371.65 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_P,HAB_P,CZ	: 	1034.21 	1035.00 	1011.60 	1022.83 	1024.27 	1031.60 	1028.87 	1029.80 	1007.07 	996.97 	1004.35 b	1227.54 	1290.49 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_P,HAB_P,DE	: 	405.74 	408.05 	406.51 	411.46 	408.83 	408.76 	404.50 	405.79 	399.69 	400.81 	405.04 	413.22 	422.67 	424.66 	445.30 	450.91 	460.43 	472.17 	480.36 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_P,HAB_P,DK	16497.30 	17252.67 	18227.03 	19184.22 	18839.80 	18069.43 	18333.82 	17101.44 	15816.71 	12076.83 	11345.36 	13834.62 	10362.28 	13048.98 	12911.20 	15535.06 	18308.89 	15665.28 	19047.96 	20999.73 b	29282.97 	28862.79 	26742.71 	26654.36 	27242.22 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_P,HAB_P,EE	: 	5455.57 	4208.37 	4377.41 	4413.35 	4746.72 	4592.90 	4570.34 	3789.52 b	3555.63 	3760.45 	4096.85 	4007.55 	3693.62 	5517.20 	2992.91 	3093.09 	2313.33 	1958.17 	1574.60 	: 	: 	: 	1863.11 	3209.94 	6493.55 	6559.97 	10156.34 	12049.42 	33328.05 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_P,HAB_P,EL	: 	: 	738.30 	732.17 	722.86 	725.51 	712.60 	720.45 	718.37 	737.51 	740.57 	784.74 b	734.40 	737.15 	751.24 	730.70 	763.59 	754.75 	752.21 	753.94 	722.31 	713.68 	733.44 	727.06 	704.46 	694.02 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_P,HAB_P,ES	: 	1829.20 p	1782.10 	1746.77 	1749.06 	1765.58 	1746.11 	1779.99 	1792.46 	1789.33 	1783.60 	1766.22 b	1586.20 	1548.58 	1503.80 	1533.27 	1522.29 	1490.81 	1549.42 	1507.15 	1536.94 	1524.65 	1522.88 	1509.55 	1500.78 	1455.99 	1319.69 	1447.57 	1474.65 	1445.36 	1405.76 	1356.77 	1381.33 	1364.07 	1352.38 	1341.19 	1257.34 	: 	: 	: 	: 	989.16 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_P,HAB_P,FI	: 	7944.74 	7411.55 	5293.21 	4664.02 	5340.43 	4727.81 	5878.91 	4922.15 	4070.65 	3726.33 	3906.30 	3996.16 	3694.99 	3807.57 	3567.93 	3874.52 	3813.40 	4019.29 	4009.71 	3797.96 	4012.56 	3629.99 	3529.79 	3724.52 	3748.77 	3714.76 	3766.35 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_P,HAB_P,FR	: 	721.78 	708.91 	699.10 	689.96 	686.82 	682.57 	680.01 	672.22 	664.05 	666.18 	666.52 	670.10 	676.60 	675.19 	674.16 	675.54 	668.65 	662.14 	651.69 	644.17 	632.82 	608.62 	599.37 	592.10 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_P,HAB_P,HR	: 	14052.99 	14474.04 	15264.44 	15409.90 	15510.93 	17906.35 	15806.20 	15359.11 	16676.02 	29950.49 	33305.05 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_P,HAB_P,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	53255.74 	55248.75 	55373.75 	66921.25 	55556.79 b	50106.32 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_P,HAB_P,IE	: 	2907.10 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_P,HAB_P,IT	: 	863.82 b	1076.70 	1075.98 	1072.87 	1085.99 	1097.71 	1086.37 	1070.43 	1057.75 	1017.03 	981.63 	958.94 	934.97 	905.43 	874.38 	879.34 	895.73 	883.64 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_P,HAB_P,LI	723.24 	720.39 	1836.31 	9561.50 	1026.00 	9429.00 	9373.50 	9311.88 	9245.88 	9164.13 	9078.00 	9005.38 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_P,HAB_P,LT	: 	12589.57 	13563.77 	15143.47 	18366.25 	17815.10 	16228.55 	22384.48 	12272.57 	13580.79 	27528.31 	17698.75 	30412.65 	34763.38 	40391.18 	32375.34 	33225.28 	43858.11 	50973.33 	66212.83 	33055.40 	1166512.00 	1174745.83 	591555.17 	: 	400179.17 	907275.38 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_P,HAB_P,LV	: 	1863.19 	1919.58 	1797.74 	1775.36 	1751.15 	1765.65 	1797.82 	1870.49 	1919.17 	1961.63 	2738.32 	2484.53 	2065.77 	2041.12 	2403.42 	2454.82 	2539.98 	2564.97 	3869.64 	4779.49 	4911.93 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_P,HAB_P,MK	: 	4934.60 	5736.72 	6829.66 	6482.82 	6299.36 	8024.13 	7203.73 	7588.35 	7633.50 	7248.38 	10431.49 	17831.92 	18275.88 	20852.64 	21033.27 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_P,HAB_P,MT	: 	4089.94 	4098.06 	4487.31 	5199.99 	3732.43 	4120.86 	4138.64 	3520.38 	3684.45 	8005.14 b	2527.49 	2515.10 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_P,HAB_P,PL	: 	836.03 	854.85 	832.93 	842.85 b	: 	: 	: 	: 	: 	561.97 	620.79 	703.64 	791.83 	855.60 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_P,HAB_P,PT	: 	2175.59 	2268.19 	2587.78 	2796.71 	2746.86 	2667.54 	2964.95 	3050.55 	3487.51 	3911.66 	3449.62 	3575.18 	3711.13 	4347.61 	4362.47 	4703.69 	4449.86 	4533.52 	4928.87 	5238.99 	5274.17 	5091.10 b	5313.91 	5057.02 	5024.44 	6139.73 	6437.84 	6551.40 	6526.23 	6539.88 	6158.68 	7313.60 	6872.16 	6955.64 	6382.15 	6572.86 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_P,HAB_P,RO	: 	2049.98 	2167.09 	2426.66 	2737.77 	2862.45 	3017.45 	3355.63 	3775.49 	4474.24 	5554.87 	7317.26 	11423.16 	18288.40 	21753.11 	26197.48 	32799.52 	39433.36 	342449.61 	249775.82 	402399.45 	547389.54 	380882.03 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PRV_P,HAB_P,SI	: 	20816.03 	20677.07 	20533.60 	20459.28 	20445.96 	20431.00 	20215.49 	20195.62 	20168.22 	20125.91 	20084.14 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
